id,ceiling_height,num_rooms,time_to_metro,total_area,floor,total_floors,parking_categories,main_price,utilities_included,rental_term,prepayment_months,presence_balcony,numbers_toilets,kids_allowed,pets_allowed,furniture,fridge,washing_machine,condi,fur_in_kitch,elevator_num
271271157,3.0,4.0,9.0,200.0,5.0,16.0,0,500000.0,1,1,1.0,0,1,1,1,1,1,1,1,1,5.0
271634126,3.5,4.0,8.0,198.0,5.0,16.0,0,500000.0,1,1,1.0,0,3,1,0,1,1,1,1,1,2.0
271173086,3.2,4.0,7.0,200.0,5.0,16.0,0,500000.0,0,1,1.0,0,3,1,0,1,1,1,1,1,1.0
272197456,3.2,4.0,3.0,170.0,5.0,6.0,0,400000.0,0,1,1.0,0,3,0,1,1,1,1,1,1,1.0
273614615,3.9,2.0,7.0,58.0,12.0,26.0,1,225000.0,1,1,1.0,0,2,1,1,1,1,1,0,1,2.0
274837728,2.64,3.0,5.0,92.0,3.0,7.0,1,470000.0,0,1,2.0,0,1,1,1,1,1,1,1,1,0.0
273643908,3.2,5.0,4.0,213.0,4.0,5.0,2,350000.0,0,1,1.0,0,2,1,1,1,1,1,0,1,1.0
274475342,3.2,3.0,3.0,98.0,2.0,4.0,0,250000.0,1,1,1.0,0,2,1,1,1,1,1,1,1,1.0
273973191,3.0,3.0,9.0,120.0,5.0,10.0,3,130000.0,1,1,1.0,0,1,0,1,0,1,1,1,1,1.0
272900409,3.1,4.0,10.0,90.0,2.0,7.0,3,210000.0,1,1,1.0,1,2,1,0,1,1,1,1,1,1.0
271036964,3.2,4.0,5.0,170.0,6.0,7.0,0,290000.0,0,1,1.0,0,3,1,0,1,1,1,1,1,1.0
273999490,2.64,3.0,2.0,80.0,4.0,8.0,1,100000.0,1,1,1.0,1,1,1,1,1,1,1,1,1,1.0
274017037,2.64,3.0,8.0,100.0,2.0,4.0,1,200000.0,1,1,1.0,0,2,1,1,1,1,1,1,1,1.0
273231024,2.64,5.0,9.0,180.0,6.0,8.0,1,500000.0,1,1,1.0,1,3,1,1,1,1,1,1,1,3.0
274839211,2.64,5.0,5.0,222.2,5.0,9.0,0,450000.0,0,1,1.0,1,2,1,1,1,1,1,0,1,1.0
274767901,2.64,5.0,6.0,225.0,5.0,9.0,1,450000.0,1,1,1.0,0,1,1,1,1,1,1,1,1,4.0
274995950,2.64,2.0,10.0,30.0,19.0,26.0,1,120000.0,1,1,1.0,0,1,1,1,1,1,1,1,1,0.0
274945807,2.64,5.0,5.0,222.0,5.0,9.0,1,450000.0,0,1,1.0,1,1,1,1,1,1,1,1,1,0.0
272911145,2.64,5.0,12.0,150.0,4.0,7.0,2,180000.0,0,1,1.0,1,2,1,1,1,1,1,0,1,1.0
274748017,3.2,5.0,6.0,201.0,3.0,3.0,1,190000.0,0,1,1.0,0,3,1,1,0,1,1,1,1,1.0
273941734,2.64,2.0,9.0,64.0,12.0,26.0,1,205000.0,1,1,1.0,0,2,1,1,1,1,1,1,1,0.0
274493570,3.2,3.0,5.0,112.0,2.0,7.0,0,230000.0,0,1,1.0,1,2,1,0,1,1,1,1,1,1.0
274849101,2.64,4.0,5.0,190.0,4.0,5.0,1,590000.0,0,1,1.0,0,1,1,1,1,1,1,0,1,0.0
223918678,2.64,5.0,8.0,255.6,8.0,9.0,1,850000.0,1,1,1.0,0,3,1,1,1,1,1,1,1,0.0
274391259,3.3,5.0,5.0,186.0,3.0,3.0,3,190000.0,1,1,1.0,0,2,1,1,1,1,1,1,1,0.0
272945376,3.2,3.0,5.0,100.0,3.0,8.0,2,200000.0,0,1,1.0,0,2,1,1,1,1,1,1,1,1.0
272612966,2.64,5.0,11.0,150.0,4.0,7.0,1,200000.0,0,1,1.0,1,2,1,1,1,1,1,1,1,1.0
271568490,2.64,5.0,7.0,140.0,2.0,7.0,1,300000.0,0,1,1.0,0,1,1,0,1,1,1,0,1,1.0
264664760,2.64,3.0,15.0,132.8,5.0,13.0,1,400000.0,1,1,1.0,0,2,1,1,1,1,1,1,1,0.0
228923308,3.0,5.0,10.0,256.0,8.0,10.0,0,750000.0,1,1,3.0,0,4,1,1,1,1,1,1,1,2.0
268321690,2.64,3.0,11.0,135.0,5.0,13.0,0,400000.0,1,1,1.0,0,2,1,1,1,1,1,0,1,3.0
269496185,3.2,4.0,3.0,190.0,4.0,5.0,0,590000.0,1,1,1.0,0,2,1,0,1,1,1,1,1,2.0
272823500,2.64,3.0,7.0,85.0,7.0,7.0,0,150000.0,0,1,1.0,1,1,1,1,1,1,1,0,1,1.0
274402813,2.64,3.0,5.0,105.0,6.0,17.0,0,195000.0,1,1,1.0,0,3,1,1,1,1,1,0,1,0.0
270190788,2.64,3.0,5.0,134.0,8.0,16.0,0,300000.0,0,1,1.0,1,2,1,1,1,1,1,0,1,1.0
271265359,3.2,2.0,5.0,60.0,5.0,6.0,2,90000.0,0,1,1.0,0,1,1,0,1,1,1,1,1,1.0
274289253,2.64,3.0,7.0,85.0,7.0,7.0,1,150000.0,0,1,1.0,1,1,1,1,1,1,0,1,1,0.0
274150874,2.64,5.0,4.0,150.0,4.0,6.0,1,250000.0,0,1,1.0,0,1,1,1,1,1,1,1,1,0.0
274849686,3.2,4.0,5.0,142.0,12.0,13.0,0,350000.0,0,1,1.0,0,2,1,1,1,1,1,0,1,1.0
274315381,2.64,5.0,6.0,222.0,7.0,9.0,1,450000.0,0,1,1.0,1,1,1,1,1,1,1,1,1,1.0
272156997,3.2,5.0,5.0,170.0,5.0,5.0,2,175000.0,1,1,1.0,0,2,1,1,1,1,1,1,1,1.0
274617827,2.64,5.0,8.0,200.0,3.0,3.0,1,190000.0,1,1,1.0,0,1,1,1,0,1,1,0,1,0.0
269132104,3.0,1.0,10.0,60.0,2.0,12.0,0,250000.0,1,1,1.0,0,1,1,0,1,1,1,1,1,2.0
273911217,2.64,5.0,6.0,155.0,4.0,6.0,1,250000.0,0,1,1.0,0,1,1,1,1,1,1,1,1,1.0
269716469,3.0,3.0,5.0,134.0,8.0,16.0,0,300000.0,1,1,1.0,0,2,1,1,1,1,1,0,1,2.0
271258034,2.64,5.0,9.0,180.0,7.0,8.0,1,500000.0,0,1,1.0,1,1,1,0,1,1,1,1,1,1.0
166833883,2.64,6.0,6.0,260.0,6.0,8.0,1,590000.0,1,1,1.0,1,4,1,1,1,1,1,1,1,2.0
273798495,2.64,4.0,6.0,237.1,7.0,11.0,1,650000.0,1,1,1.0,1,3,1,1,1,1,1,0,1,2.0
274810876,2.64,4.0,4.0,215.0,5.0,5.0,0,700000.0,0,1,0.0,0,3,1,1,1,1,1,1,1,0.0
274223065,2.64,2.0,8.0,60.0,3.0,6.0,1,120000.0,0,1,1.0,0,1,1,1,1,1,1,1,1,0.0
271264562,3.2,5.0,5.0,170.0,5.0,5.0,2,175000.0,1,1,1.0,0,2,1,1,0,1,1,1,1,1.0
274029603,2.64,4.0,5.0,180.0,3.0,4.0,1,350000.0,1,1,1.0,0,3,1,0,1,1,1,1,1,1.0
274548856,2.64,4.0,6.0,132.0,12.0,13.0,0,350000.0,1,1,1.0,0,2,1,1,1,1,1,0,1,4.0
271766412,2.64,6.0,4.0,228.0,3.0,6.0,1,400000.0,0,1,1.0,1,2,1,1,0,1,1,0,1,1.0
274105576,3.2,5.0,5.0,204.0,2.0,13.0,0,500000.0,0,1,1.0,1,4,1,1,1,1,1,1,1,1.0
273785180,3.2,4.0,4.0,160.0,26.0,26.0,1,650000.0,0,1,1.0,0,3,1,1,1,1,1,1,1,1.0
273785183,3.2,4.0,4.0,140.0,25.0,26.0,1,650000.0,0,1,1.0,0,3,1,1,1,1,1,1,1,1.0
273785185,3.2,4.0,4.0,140.0,25.0,26.0,1,700000.0,0,1,1.0,1,3,1,1,1,1,0,1,1,1.0
274528249,2.64,1.0,3.0,45.0,6.0,7.0,2,120000.0,1,1,1.0,1,1,1,1,1,1,1,1,1,1.0
